Dimension,Crossover Method,Generations,Population Size,Step Size,Best Fitness,Worst Fitness,Standard Deviation,Elapsed Time
5,uniform_crossover,5,5,0.1,73.93664796085085,75.46062313350748,1.118149479051249,0.0019998550415039062
5,uniform_crossover,5,5,0.2,28.04418865670317,28.855157923556717,0.6751041616923403,0.003000974655151367
5,uniform_crossover,5,5,0.5,39.72058717478417,41.45870534971831,0.7101393318887403,0.0020008087158203125
5,uniform_crossover,5,5,1.0,11.230103156961583,27.064400663375427,6.894335952233355,0.0010004043579101562
5,uniform_crossover,5,5,1.5,10.138260786760455,24.500618081022346,6.6101859295259064,0.0019998550415039062
5,uniform_crossover,5,5,2.0,12.80242255725563,18.045998791369286,2.3112381690936292,0.0010001659393310547
5,uniform_crossover,5,10,0.1,5.9866481477435265,14.298402719912975,2.257691346949297,0.002000570297241211
5,uniform_crossover,5,10,0.2,16.550524093343654,22.55390462558412,1.8219786110505714,0.002001047134399414
5,uniform_crossover,5,10,0.5,22.231623783300428,29.352165139410612,3.1995315665540245,0.0020003318786621094
5,uniform_crossover,5,10,1.0,4.407697902113771,17.073428723029274,4.285022622447021,0.0019998550415039062
5,uniform_crossover,5,10,1.5,11.24344619889194,34.04390852183165,7.701703569977846,0.0030012130737304688
5,uniform_crossover,5,10,2.0,16.16683857167398,28.61570955629732,7.244601058591783,0.002000570297241211
5,uniform_crossover,5,20,0.1,6.53101397304172,16.166535817032177,2.7559142112566533,0.003000020980834961
5,uniform_crossover,5,20,0.2,6.102762646923452,14.170108398911452,2.3699394329560586,0.004001140594482422
5,uniform_crossover,5,20,0.5,9.75738128125014,33.98654118172668,6.068747672603415,0.003001689910888672
5,uniform_crossover,5,20,1.0,10.582535752018956,22.128289620819125,5.290967306269105,0.004001140594482422
5,uniform_crossover,5,20,1.5,11.321885815166599,49.5157549849346,7.89870746196549,0.003000974655151367
5,uniform_crossover,5,20,2.0,1.8855703372170254,23.315067309535138,6.368113620464453,0.004000663757324219
5,uniform_crossover,5,50,0.1,3.6936440361879015,12.719781717013912,2.1401207234463926,0.00900125503540039
5,uniform_crossover,5,50,0.2,2.545217298762406,12.876035906526578,1.9576210793251252,0.01200246810913086
5,uniform_crossover,5,50,0.5,3.057039828562978,31.987674324570214,6.47006349363065,0.012002229690551758
5,uniform_crossover,5,50,1.0,3.7341862928777942,31.021453366233978,5.23427346533299,0.009002447128295898
5,uniform_crossover,5,50,1.5,1.6447473742199534,35.139781857249076,7.719649838263247,0.01000213623046875
5,uniform_crossover,5,50,2.0,1.353996571688711,26.925367834689034,4.3142850969197655,0.012002706527709961
5,uniform_crossover,5,100,0.1,4.955347266501494,20.05001250628776,2.6886690916768803,0.02100539207458496
5,uniform_crossover,5,100,0.2,0.769135823520056,29.734176143690224,6.504778051114066,0.019003629684448242
5,uniform_crossover,5,100,0.5,4.105774247676951,29.963448683389807,6.319948564974458,0.01900458335876465
5,uniform_crossover,5,100,1.0,4.908612232470563,36.74569385466174,5.366532007798849,0.01400303840637207
5,uniform_crossover,5,100,1.5,6.100842661080787,46.19798678151456,9.16781367771615,0.015003681182861328
5,uniform_crossover,5,100,2.0,2.419438886522542,50.238128236493104,6.7511448000706675,0.015003442764282227
5,uniform_crossover,10,5,0.1,54.15835098911938,54.15835098911938,0.0,0.0020003318786621094
5,uniform_crossover,10,5,0.2,85.7520112068725,85.7520112068725,0.0,0.0020008087158203125
5,uniform_crossover,10,5,0.5,16.351360741418354,34.91516043043073,7.425519875604951,0.002000093460083008
5,uniform_crossover,10,5,1.0,7.836110851692585,7.885547498074375,0.024218911645959133,0.0020003318786621094
5,uniform_crossover,10,5,1.5,29.14303526660228,29.14303526660228,3.0324887393450144,0.0030012130737304688
5,uniform_crossover,10,5,2.0,5.114738774508076,14.901291067191249,3.8972457690786175,0.0020003318786621094
5,uniform_crossover,10,10,0.1,8.977454247320658,11.323662344698612,0.6577943306584696,0.004000663757324219
5,uniform_crossover,10,10,0.2,1.995454712722946,2.5411344998250414,0.14475420785304033,0.003000974655151367
5,uniform_crossover,10,10,0.5,17.544320166826743,28.985324977323298,4.03411706000237,0.00400090217590332
5,uniform_crossover,10,10,1.0,4.426320988276283,20.462789158980613,4.820331680427266,0.0030007362365722656
5,uniform_crossover,10,10,1.5,4.712845795090196,26.890186366134028,5.726751403073814,0.0030002593994140625
5,uniform_crossover,10,10,2.0,5.746544875324229,27.491690175739265,5.325945491185186,0.004000663757324219
5,uniform_crossover,10,20,0.1,3.9553401324856026,6.565262075249329,0.5818880952024894,0.0050013065338134766
5,uniform_crossover,10,20,0.2,2.0205382456533414,10.029709521384369,1.6156144527113,0.0050013065338134766
5,uniform_crossover,10,20,0.5,6.52268887070842,23.89331387962801,4.691251750813377,0.00600123405456543
5,uniform_crossover,10,20,1.0,2.5164270161929636,24.47330669394308,6.189936913315006,0.005001068115234375
5,uniform_crossover,10,20,1.5,1.7680055466062257,20.270296176351607,4.730213177175921,0.0050013065338134766
5,uniform_crossover,10,20,2.0,4.0013860301403295,34.676076033916026,7.518827233955651,0.007001399993896484
5,uniform_crossover,10,50,0.1,1.8667803533582088,6.187098124518343,0.9201395564733239,0.013003110885620117
5,uniform_crossover,10,50,0.2,4.983186661473704,12.672103473107304,1.6223089806419937,0.01800370216369629
5,uniform_crossover,10,50,0.5,2.4421316019873593,24.3850565812689,6.645738657920845,0.01700425148010254
5,uniform_crossover,10,50,1.0,0.5222694457907551,24.091149990858014,5.032894807481193,0.019004344940185547
5,uniform_crossover,10,50,1.5,3.707880163291353,27.258639204378014,6.440803199900876,0.018004179000854492
5,uniform_crossover,10,50,2.0,1.7338122723753884,31.149122619583203,5.613774219815798,0.017004966735839844
5,uniform_crossover,10,100,0.1,1.00113695368983,3.2241680769596854,0.29120682164683354,0.03200650215148926
5,uniform_crossover,10,100,0.2,1.024934192401858,8.618228184880401,1.639318935981844,0.025005340576171875
