Dimension,Crossover Method,Generations,Population Size,Step Size,Best Fitness,Worst Fitness,Standard Deviation,Elapsed Time
4,two_point_crossover,5,5,0.1,25.100943840787686,27.41328333368914,0.8355955349240608,0.0020008087158203125
4,two_point_crossover,5,5,0.2,13.878379360314032,17.44648839108308,4.083030700843908,0.0010004043579101562
4,two_point_crossover,5,5,0.5,31.289988055012387,31.289988055012387,3.552713678800501e-15,0.0009996891021728516
4,two_point_crossover,5,5,1.0,20.117635580629326,42.92404169800264,9.122562446949324,0.001001119613647461
4,two_point_crossover,5,5,1.5,26.40883966913536,26.40883966913536,3.552713678800501e-15,0.0019998550415039062
4,two_point_crossover,5,5,2.0,15.469984591603733,29.646946972283786,5.558949535620544,0.0010001659393310547
4,two_point_crossover,5,10,0.1,13.994303235620281,16.81927291526425,0.8429359078444432,0.0020003318786621094
4,two_point_crossover,5,10,0.2,34.96440009041962,39.26810935607402,2.0434830197319056,0.0010001659393310547
4,two_point_crossover,5,10,0.5,33.6137647556035,33.6137647556035,0.0,0.002000570297241211
4,two_point_crossover,5,10,1.0,4.468128340626935,17.53994281252437,4.092078782903329,0.002000570297241211
4,two_point_crossover,5,10,1.5,12.75240292631935,27.14962830876493,4.5286448852517145,0.002000093460083008
4,two_point_crossover,5,10,2.0,6.815133219033761,23.36288948725529,4.6623773187500115,0.0020012855529785156
4,two_point_crossover,5,20,0.1,5.52389918851661,10.475832968404845,1.427663973222267,0.00400090217590332
4,two_point_crossover,5,20,0.2,16.447572389484225,28.209241869003108,3.645829827187166,0.003000020980834961
4,two_point_crossover,5,20,0.5,3.9421061442625493,24.298180748317122,6.830965890220751,0.003000974655151367
4,two_point_crossover,5,20,1.0,6.863060126053945,33.92933952490022,7.435474543275098,0.004001140594482422
4,two_point_crossover,5,20,1.5,6.053783765889644,15.903501319988308,3.435904183387532,0.0030002593994140625
4,two_point_crossover,5,20,2.0,2.012423378681479,20.980010948540926,4.675304865992845,0.0030007362365722656
4,two_point_crossover,5,50,0.1,1.6500682927636134,10.953525962981892,2.253388086542254,0.0070018768310546875
4,two_point_crossover,5,50,0.2,2.5407402200290825,18.090467598706056,2.7813063585986373,0.008002042770385742
4,two_point_crossover,5,50,0.5,3.740907167782648,27.330553541825825,5.1024776880511356,0.007001399993896484
4,two_point_crossover,5,50,1.0,4.922071312416604,23.047477649290357,3.885953209854262,0.008001089096069336
4,two_point_crossover,5,50,1.5,5.086954735163628,28.74556254444886,5.948911765159588,0.007002115249633789
4,two_point_crossover,5,50,2.0,4.509697561410555,38.733393300674564,7.389991567501703,0.009002923965454102
4,two_point_crossover,5,100,0.1,4.844724302394418,20.18494313191585,3.5467160858681908,0.016002893447875977
4,two_point_crossover,5,100,0.2,1.0853123301650562,29.12826079238348,5.5169863485835915,0.017004013061523438
4,two_point_crossover,5,100,0.5,2.1845628948189884,33.598821918028506,6.563260967771575,0.015003204345703125
4,two_point_crossover,5,100,1.0,2.0269398181993274,29.728439760448452,5.827784570994177,0.01300358772277832
4,two_point_crossover,5,100,1.5,1.0976113175063915,31.232387672204922,6.006367988493207,0.014002323150634766
4,two_point_crossover,5,100,2.0,2.739035066391253,44.2936103173127,8.734280056403017,0.01600360870361328
4,two_point_crossover,10,5,0.1,7.899027032985085,10.389090474674706,1.0890593253241254,0.003001689910888672
4,two_point_crossover,10,5,0.2,28.154712172633072,39.29541645437325,5.350264858566506,0.003000497817993164
4,two_point_crossover,10,5,0.5,15.780990318424333,15.780990318424333,0.0,0.0019998550415039062
4,two_point_crossover,10,5,1.0,28.937765702364736,49.531909351278024,8.237657459565314,0.003000974655151367
4,two_point_crossover,10,5,1.5,32.48871625556394,32.48871625556394,0.0,0.002000093460083008
4,two_point_crossover,10,5,2.0,20.827288229840356,30.873115492558746,6.7217505025886615,0.002009868621826172
4,two_point_crossover,10,10,0.1,29.994855817754214,30.91024617942709,1.2233454789627816,0.003991127014160156
4,two_point_crossover,10,10,0.2,5.532487257642149,13.798123513103782,2.5826732741751,0.004001140594482422
4,two_point_crossover,10,10,0.5,7.488599378426731,7.488599378426731,8.881784197001252e-16,0.004000663757324219
4,two_point_crossover,10,10,1.0,1.9931121020660427,14.4521031128385,3.7376172041019062,0.0040013790130615234
4,two_point_crossover,10,10,1.5,7.368749085203712,18.30569950864446,4.45151240654195,0.0030007362365722656
4,two_point_crossover,10,10,2.0,5.8197777360219405,22.250208551257604,4.929129244570699,0.0040013790130615234
4,two_point_crossover,10,20,0.1,13.05368607038367,15.258335794010417,0.4992587998198639,0.007001161575317383
4,two_point_crossover,10,20,0.2,10.071568900086692,14.319141376424586,1.2226321635187518,0.007001399993896484
4,two_point_crossover,10,20,0.5,5.038400803427789,23.885473381772364,5.175596512152621,0.006001472473144531
4,two_point_crossover,10,20,1.0,1.0459941345797752,19.75790133258941,4.827289158594957,0.007001399993896484
4,two_point_crossover,10,20,1.5,5.32736885603375,22.16446464464481,4.295911553880374,0.007001638412475586
4,two_point_crossover,10,20,2.0,1.1807798534181657,22.64297191022355,5.05719156531392,0.007002115249633789
4,two_point_crossover,10,50,0.1,5.010497372554372,6.3738075049066385,0.2933638881136997,0.01700425148010254
4,two_point_crossover,10,50,0.2,1.1469725406720634,6.758637301555019,1.5000648688944482,0.012002229690551758
4,two_point_crossover,10,50,0.5,0.020002768988224062,20.335380923555412,3.483292496863749,0.011002540588378906
4,two_point_crossover,10,50,1.0,0.06719187524951309,19.216386177961947,4.766670465347329,0.015002965927124023
