Dimension,Crossover Method,Generations,Population Size,Step Size,Best Fitness,Worst Fitness,Standard Deviation,Elapsed Time
5,two_point_crossover,5,5,0.1,30.421059482433463,35.76672018405418,2.115366866507321,0.0009996891021728516
5,two_point_crossover,5,5,0.2,23.469229617560377,26.425364945475824,1.555941567412799,0.002001523971557617
5,two_point_crossover,5,5,0.5,10.96928062805392,30.09119858112873,7.648767181229924,0.00099945068359375
5,two_point_crossover,5,5,1.0,18.3161183160881,37.10900882895523,7.517156205146853,0.0010004043579101562
5,two_point_crossover,5,5,1.5,41.806745948624716,41.806745948624716,0.0,0.0010008811950683594
5,two_point_crossover,5,5,2.0,19.49177332675662,42.150322379288035,9.063419621012567,0.0009989738464355469
5,two_point_crossover,5,10,0.1,15.265646272844048,19.07717419724908,1.9082342197081983,0.0010006427764892578
5,two_point_crossover,5,10,0.2,4.841336997532117,9.007780129843,1.3336546733407373,0.0020012855529785156
5,two_point_crossover,5,10,0.5,2.9089403278826538,42.44499996609356,12.748612983998948,0.0010080337524414062
5,two_point_crossover,5,10,1.0,8.25726882367913,24.590816104121746,4.692286198460255,0.0009915828704833984
5,two_point_crossover,5,10,1.5,9.809242859938324,24.65323357312363,4.162440679307519,0.0020003318786621094
5,two_point_crossover,5,10,2.0,11.920827123123402,36.649341246519135,6.7689991950134,0.002001523971557617
5,two_point_crossover,5,20,0.1,10.982462257247118,18.522950783937823,2.0284932652920764,0.003000974655151367
5,two_point_crossover,5,20,0.2,4.614759427058026,20.88617472284115,4.820443511593012,0.0030012130737304688
5,two_point_crossover,5,20,0.5,6.827104949113711,24.824433257809577,4.517570087772869,0.0029997825622558594
5,two_point_crossover,5,20,1.0,2.4388523740611916,20.283404445829262,4.875881781460252,0.0029997825622558594
5,two_point_crossover,5,20,1.5,8.659931322810344,27.115254622901645,4.522866895678659,0.004001617431640625
5,two_point_crossover,5,20,2.0,8.770016211536012,29.711022987986425,4.630224297112621,0.003000020980834961
5,two_point_crossover,5,50,0.1,0.8309301907001299,11.487508059657973,3.00843291483959,0.0060007572174072266
5,two_point_crossover,5,50,0.2,10.346310319482544,28.635531904732392,5.657556432349478,0.007001638412475586
5,two_point_crossover,5,50,0.5,2.7924434685031017,26.284607339932514,6.9061965761304,0.007001161575317383
5,two_point_crossover,5,50,1.0,2.522838097690645,35.540727620384615,7.891826201567781,0.006001710891723633
5,two_point_crossover,5,50,1.5,2.060169007626243,23.518490287037555,4.770172203914159,0.006000995635986328
5,two_point_crossover,5,50,2.0,7.909065037993168,39.26111331317645,5.865000479539398,0.006001710891723633
5,two_point_crossover,5,100,0.1,3.4920333224510713,18.019154913684385,3.1862699284123934,0.012002229690551758
5,two_point_crossover,5,100,0.2,1.273100526707843,29.51240540550434,6.073953055311213,0.012002944946289062
5,two_point_crossover,5,100,0.5,2.7467241397746065,30.76158409535981,5.761149663001458,0.012002706527709961
5,two_point_crossover,5,100,1.0,4.572008403947809,32.588888244975436,5.290784842702286,0.012002706527709961
5,two_point_crossover,5,100,1.5,5.239259538492604,31.159779227443902,5.689379924300968,0.011002779006958008
5,two_point_crossover,5,100,2.0,2.0396725880132536,40.19792277233557,7.262862600981052,0.013003826141357422
5,two_point_crossover,10,5,0.1,18.651125992828973,21.457422434176074,1.1225185765388404,0.0020008087158203125
5,two_point_crossover,10,5,0.2,1.3183648982698983,1.3183648982698983,0.0,0.0009999275207519531
5,two_point_crossover,10,5,0.5,49.52816247989475,58.95995795214484,5.679594069500273,0.0020003318786621094
5,two_point_crossover,10,5,1.0,20.161986377462974,21.213641554635032,0.5152037138855566,0.002000093460083008
5,two_point_crossover,10,5,1.5,33.31956870305832,40.439481063237174,2.8479649440715407,0.0009996891021728516
5,two_point_crossover,10,5,2.0,14.30222050514922,14.30222050514922,0.5544486715844272,0.0020003318786621094
5,two_point_crossover,10,10,0.1,2.0078215319260977,3.1047693277653536,0.3241380999270645,0.0030007362365722656
5,two_point_crossover,10,10,0.2,13.155125750383057,17.54148287211929,1.3027077628693657,0.0030007362365722656
5,two_point_crossover,10,10,0.5,26.31625847245447,28.53415502186427,1.0865429696667006,0.002001047134399414
5,two_point_crossover,10,10,1.0,3.864818862165457,21.231285340372835,5.435398124404985,0.0030019283294677734
5,two_point_crossover,10,10,1.5,9.929226766948474,24.473640735430422,5.051035835757552,0.0029997825622558594
5,two_point_crossover,10,10,2.0,2.017459043708172,9.555032618139137,3.0259927710120413,0.0030002593994140625
5,two_point_crossover,10,20,0.1,0.026674899264214957,0.49390630910108513,0.10680961047551549,0.005001068115234375
5,two_point_crossover,10,20,0.2,8.003381754255408,14.479882114361157,1.3686117090664889,0.0050008296966552734
5,two_point_crossover,10,20,0.5,5.066876744105386,23.5754509729035,4.170548802230156,0.006001710891723633
5,two_point_crossover,10,20,1.0,5.881425955969519,26.94583757291411,6.360495766284867,0.011002779006958008
5,two_point_crossover,10,20,1.5,7.2498578757235705,20.600344080345934,3.4500305327568097,0.012002229690551758
5,two_point_crossover,10,20,2.0,0.9601804174956641,16.88341718873469,4.074758812100798,0.013002395629882812
