Dimension,Crossover Method,Generations,Population Size,Step Size,Best Fitness,Worst Fitness,Standard Deviation,Elapsed Time
5,two_point_crossover,5,5,0.1,7.789005793760079,12.702075040749872,1.8474551954595635,0.0020873546600341797
5,two_point_crossover,5,5,0.2,17.43946384790311,17.90172481483954,0.18490438677457208,0.0009114742279052734
5,two_point_crossover,5,5,0.5,23.0802206868798,23.0802206868798,0.0,0.0009999275207519531
5,two_point_crossover,5,5,1.0,28.097666099538632,28.097666099538632,3.552713678800501e-15,0.0010008811950683594
5,two_point_crossover,5,5,1.5,87.88538667693388,87.88538667693388,4.008285400553587,0.0009999275207519531
5,two_point_crossover,5,5,2.0,12.744543124092342,22.012861438090773,4.87285459195328,0.0009999275207519531
5,two_point_crossover,5,10,0.1,21.821011696615614,25.497730126798654,1.787732281134201,0.002000570297241211
5,two_point_crossover,5,10,0.2,5.455136648120616,16.08036604090956,3.6198230934745874,0.0010001659393310547
5,two_point_crossover,5,10,0.5,20.716189715861717,20.716189715861717,3.552713678800501e-15,0.002001047134399414
5,two_point_crossover,5,10,1.0,24.723827789894884,40.64020452765533,4.622905266221977,0.0020008087158203125
5,two_point_crossover,5,10,1.5,6.608476442777542,26.780170295837394,7.486350511607482,0.0019996166229248047
5,two_point_crossover,5,10,2.0,12.260237383442279,13.761584220179873,0.4126835663298799,0.0020012855529785156
5,two_point_crossover,5,20,0.1,8.272407884074788,10.018293453581174,0.42535919917837367,0.003000974655151367
5,two_point_crossover,5,20,0.2,4.764066355510579,8.208141081104259,1.5548803721009443,0.0029997825622558594
5,two_point_crossover,5,20,0.5,9.608414547054707,24.77529799232487,3.3678971168580643,0.003000497817993164
5,two_point_crossover,5,20,1.0,5.359779666565897,15.036124628530208,2.9016189302584237,0.003000497817993164
5,two_point_crossover,5,20,1.5,3.0437559743388505,21.834946841424472,4.375916487187678,0.003002166748046875
5,two_point_crossover,5,20,2.0,13.228026437608442,28.453528246360392,4.682110211849943,0.003999471664428711
5,two_point_crossover,5,50,0.1,5.251047967745222,9.986146595763314,1.171628888915846,0.009001970291137695
5,two_point_crossover,5,50,0.2,2.6087831387146494,15.601088247349393,2.7636769876848626,0.009002923965454102
5,two_point_crossover,5,50,0.5,2.5051116697659666,21.421959262879632,4.473198171027943,0.00700068473815918
5,two_point_crossover,5,50,1.0,2.049860895113838,27.025316765537255,5.388143432893613,0.009002685546875
5,two_point_crossover,5,50,1.5,1.3226631444122532,20.851748444380476,4.625521084895454,0.008002042770385742
5,two_point_crossover,5,50,2.0,1.4134022077056443,28.31288959608264,5.612191174510481,0.007002353668212891
5,two_point_crossover,5,100,0.1,3.075127784409773,17.727646278153486,3.1985025110863856,0.015002012252807617
5,two_point_crossover,5,100,0.2,5.276427958037868,23.273880037761913,4.979237750296566,0.012002944946289062
5,two_point_crossover,5,100,0.5,2.066100312465384,31.8047089100739,6.765630018829733,0.013002634048461914
5,two_point_crossover,5,100,1.0,0.43977839726940005,31.912045694134882,6.354033781077431,0.01400303840637207
5,two_point_crossover,5,100,1.5,1.729319928292579,34.946716453035535,7.154885658028825,0.014003276824951172
5,two_point_crossover,5,100,2.0,2.530158563871673,39.99989337121926,5.880773044360085,0.013002872467041016
5,two_point_crossover,10,5,0.1,39.08372187456472,41.55739659784688,1.195669742858777,0.002000570297241211
5,two_point_crossover,10,5,0.2,4.813098632605783,4.813098632605783,0.0,0.002000570297241211
5,two_point_crossover,10,5,0.5,5.524443095805557,24.246229141416755,7.488714418244479,0.0030012130737304688
5,two_point_crossover,10,5,1.0,75.46632086435766,75.46632086435766,5.4983248373590525,0.0019998550415039062
5,two_point_crossover,10,5,1.5,18.769826366186305,18.769826366186305,0.0,0.002000093460083008
5,two_point_crossover,10,5,2.0,1.2716871719990408,20.303197891726718,7.604425681496706,0.002000570297241211
5,two_point_crossover,10,10,0.1,11.497159573864012,15.845220050015945,1.5065548872421184,0.0030012130737304688
5,two_point_crossover,10,10,0.2,17.42775699751042,24.94643883320088,2.255604550707137,0.003000497817993164
5,two_point_crossover,10,10,0.5,9.554917021820376,23.890028577343877,4.204926139581999,0.003000497817993164
5,two_point_crossover,10,10,1.0,1.1946618878629707,19.530112333808,5.5340738881883365,0.003002643585205078
5,two_point_crossover,10,10,1.5,28.99511290993312,28.99511290993312,2.2200781263672114,0.002998828887939453
5,two_point_crossover,10,10,2.0,12.00613677428559,40.10551996784676,9.113574140351712,0.0020008087158203125
5,two_point_crossover,10,20,0.1,10.188453451524168,13.98561119731994,1.3239035650490132,0.0060007572174072266
5,two_point_crossover,10,20,0.2,10.082245975919557,18.494397561763122,1.8158843693413422,0.0070018768310546875
5,two_point_crossover,10,20,0.5,1.4190597317339382,7.7294268336687395,1.4836692778947635,0.007002115249633789
5,two_point_crossover,10,20,1.0,1.1073084772960868,20.263188444699303,3.990498810308275,0.005002021789550781
5,two_point_crossover,10,20,1.5,1.0173753287684661,22.898810719092715,4.932970097803475,0.006000041961669922
5,two_point_crossover,10,20,2.0,3.744481049620468,26.62482819714092,7.503030381530633,0.005001068115234375
5,two_point_crossover,10,50,0.1,1.008113666888157,3.7777097321697966,0.4156136711674653,0.013004064559936523
5,two_point_crossover,10,50,0.2,0.08155841183216239,7.424697200945143,1.3028241515719359,0.013001441955566406
5,two_point_crossover,10,50,0.5,1.1696928634166213,18.536981615199466,4.007551958763817,0.014002799987792969
5,two_point_crossover,10,50,1.0,4.279043009159011,26.623712274518187,4.020086754619431,0.013003826141357422
5,two_point_crossover,10,50,1.5,0.06743066835988643,21.17764233148163,4.9879533068184045,0.012012004852294922
5,two_point_crossover,10,50,2.0,1.1296028643695735,20.075043154544048,5.103380611265464,0.012993335723876953
5,two_point_crossover,10,100,0.1,1.0316658042372566,3.6908596225132584,0.3019104364868697,0.027006149291992188
5,two_point_crossover,10,100,0.2,0.30573743898638384,8.680637912479636,1.7419764272302987,0.02701568603515625
5,two_point_crossover,10,100,0.5,0.2146745754044872,20.265900728672655,5.374277178069669,0.026998043060302734
5,two_point_crossover,10,100,1.0,0.01922282498318495,33.40528532277655,6.075882904374106,0.02600550651550293
5,two_point_crossover,10,100,1.5,1.0244411817033807,23.770990300149393,5.556851972111127,0.0280148983001709
5,two_point_crossover,10,100,2.0,1.0929826331179022,21.023338068620355,4.639403628116673,0.031998634338378906
5,two_point_crossover,20,5,0.1,13.475794633965354,15.973703039609632,0.9517873956012772,0.004001617431640625
5,two_point_crossover,20,5,0.2,2.5742662988824847,11.564750635399617,3.596193734606853,0.003008604049682617
5,two_point_crossover,20,5,0.5,3.9910047595411484,21.01418786894582,6.809273243761869,0.003991603851318359
5,two_point_crossover,20,5,1.0,27.130645458171877,28.31001948144968,0.5777729145847811,0.004002094268798828
5,two_point_crossover,20,5,1.5,9.505874243084525,13.526704553822729,1.615459352476995,0.007001399993896484
5,two_point_crossover,20,5,2.0,10.603388677480952,23.712481499224488,5.167609781851462,0.025005340576171875
5,two_point_crossover,20,10,0.1,4.980145002131966,4.997781632290186,0.0052909890474660765,0.014003276824951172
5,two_point_crossover,20,10,0.2,21.303728696249724,26.655941949023433,1.6056639758321127,0.01700282096862793
5,two_point_crossover,20,10,0.5,1.3786711393414635,1.3786711393414635,0.0,0.027007102966308594
5,two_point_crossover,20,10,1.0,2.972038872397924,22.99792206196294,6.32301759056435,0.03901243209838867
5,two_point_crossover,20,10,1.5,6.274095032531276,28.099119226595803,8.175490112373762,0.010998249053955078
5,two_point_crossover,20,10,2.0,1.2745079564171071,12.598057327939618,3.4157716649493315,0.007001399993896484
5,two_point_crossover,20,20,0.1,16.914458929830168,18.71776173061435,0.4530607757815158,0.015003442764282227
5,two_point_crossover,20,20,0.2,1.0001715836593945,7.1948717561875455,1.7383766330634922,0.013003349304199219
5,two_point_crossover,20,20,0.5,12.987412627669721,35.643124199767094,8.39367622215448,0.017003297805786133
5,two_point_crossover,20,20,1.0,4.185444679647567,20.840886797982932,4.029651188085537,0.016003847122192383
5,two_point_crossover,20,20,1.5,6.170947750410235,24.07981221238763,3.311929147442021,0.016003847122192383
5,two_point_crossover,20,20,2.0,1.83079989860342,25.525344647044793,5.648994143654205,0.011002302169799805
5,two_point_crossover,20,50,0.1,0.999707679084338,2.6420412840919596,0.3722559354634493,0.025005578994750977
5,two_point_crossover,20,50,0.2,0.9958475663227482,5.686180704369722,0.796222204467913,0.024005651473999023
5,two_point_crossover,20,50,0.5,2.0156070167728544,21.254885907654327,5.404418416618572,0.02500629425048828
5,two_point_crossover,20,50,1.0,0.0300415583628606,20.220513048460994,5.869898031351338,0.02200484275817871
5,two_point_crossover,20,50,1.5,0.15558516991378468,22.904861318264118,6.024676200766325,0.02200484275817871
5,two_point_crossover,20,50,2.0,0.12178276587983916,21.123019888574497,7.529376497660517,0.028006792068481445
5,two_point_crossover,20,100,0.1,1.9904212159696186,3.6775933768637827,0.4039433474607845,0.048010826110839844
5,two_point_crossover,20,100,0.2,1.990549659445847,12.927258422845238,1.5800680178913231,0.043009281158447266
5,two_point_crossover,20,100,0.5,0.018399326760881962,20.353856728452804,4.876780557702872,0.042009592056274414
5,two_point_crossover,20,100,1.0,0.0024998283672594823,20.26843346167216,3.845064695826748,0.04301023483276367
5,two_point_crossover,20,100,1.5,0.1594760943340212,34.46508143626106,5.931223813028533,0.05201101303100586
5,two_point_crossover,20,100,2.0,0.09238740171588233,22.142535325958647,6.378156537654666,0.07701730728149414
5,two_point_crossover,50,5,0.1,64.67448785538605,65.77095574499383,0.438587155843112,0.00800180435180664
5,two_point_crossover,50,5,0.2,9.061452266964077,16.333336487255274,2.9087536881164793,0.011002540588378906
5,two_point_crossover,50,5,0.5,19.903291248417624,38.137559562705206,6.986454909507639,0.01000213623046875
5,two_point_crossover,50,5,1.0,31.210155250355964,52.37646023865557,8.466521995319843,0.011002779006958008
5,two_point_crossover,50,5,1.5,34.42452699500234,56.069351237611045,8.657929697043482,0.00400090217590332
5,two_point_crossover,50,5,2.0,2.3388803770629565,2.3388803770629565,0.0,0.010002613067626953
5,two_point_crossover,50,10,0.1,16.915375231285743,18.73518092935072,0.5452084045591105,0.021004199981689453
5,two_point_crossover,50,10,0.2,17.069723997299818,22.840696251743516,1.7088858590758809,0.016003847122192383
5,two_point_crossover,50,10,0.5,17.992966285400918,39.224014753249335,6.369314540354526,0.011002779006958008
5,two_point_crossover,50,10,1.0,0.04513320605248339,19.96504093249582,5.975972317933002,0.01600360870361328
5,two_point_crossover,50,10,1.5,0.28359977873949305,16.75769154148591,5.157737336730967,0.018004179000854492
5,two_point_crossover,50,10,2.0,4.353393087785101,4.353393087785101,0.0,0.006000995635986328
5,two_point_crossover,50,20,0.1,0.0006664974559740244,1.537936614621561,0.47192563116762,0.04000997543334961
5,two_point_crossover,50,20,0.2,1.9962382924372193,6.463039485352201,1.1639560227853654,0.029006242752075195
5,two_point_crossover,50,20,0.5,5.0114932100665595,22.678574908781926,5.086848889305828,0.01400303840637207
5,two_point_crossover,50,20,1.0,1.1631322501654822,21.119016625856744,6.783068284723677,0.02600693702697754
