Dimension,Crossover Method,Generations,Population Size,Step Size,Best Fitness,Worst Fitness,Standard Deviation,Elapsed Time
4,two_point_crossover,5,5,0.1,43.173433255294384,46.24701570959799,1.1918314113503221,0.0020012855529785156
4,two_point_crossover,5,5,0.2,56.11870456127411,66.40582034464752,3.808535945827683,0.0009996891021728516
4,two_point_crossover,5,5,0.5,27.299814072615405,35.254135001709955,3.1817283716378197,0.00099945068359375
4,two_point_crossover,5,5,1.0,76.176269565601,82.51593401871665,7.320874351543562,0.0010001659393310547
4,two_point_crossover,5,5,1.5,10.21383679426259,25.71615501116719,6.20092728676184,0.001001596450805664
4,two_point_crossover,5,5,2.0,29.697647142281877,29.697647142281877,3.552713678800501e-15,0.00099945068359375
4,two_point_crossover,5,10,0.1,31.9302733953834,35.53120226082509,1.5117351454633368,0.002000093460083008
4,two_point_crossover,5,10,0.2,10.50397766806702,19.75813057617788,1.9912905543316353,0.0010001659393310547
4,two_point_crossover,5,10,0.5,13.614085000505229,35.00564761690306,6.757198109520391,0.0020008087158203125
4,two_point_crossover,5,10,1.0,18.231018852172564,27.71378431461089,3.742818699251598,0.0020003318786621094
4,two_point_crossover,5,10,1.5,9.035892153049772,30.752281791972862,8.116343915435012,0.0009999275207519531
4,two_point_crossover,5,10,2.0,10.919860730666471,34.69348096509319,6.357038508213028,0.002000570297241211
4,two_point_crossover,5,20,0.1,3.132558020291629,16.334609909216397,3.729753918878816,0.0030014514923095703
4,two_point_crossover,5,20,0.2,4.905798263788579,13.143046133612504,2.5476453135857247,0.003000020980834961
4,two_point_crossover,5,20,0.5,6.6961482639643,29.143812248240003,4.50417251940874,0.003000497817993164
4,two_point_crossover,5,20,1.0,2.8543442196946884,29.626348547662936,7.22011139380195,0.003000497817993164
4,two_point_crossover,5,20,1.5,6.041889472575079,45.169899400182665,7.961615763114373,0.003002166748046875
4,two_point_crossover,5,20,2.0,13.64450271310744,29.160684647015607,3.8460769599002664,0.0029993057250976562
4,two_point_crossover,5,50,0.1,4.540232931158535,24.481428569382174,3.892151102712458,0.007002115249633789
4,two_point_crossover,5,50,0.2,5.307882845516442,18.989216137529688,2.4496605483613014,0.006000518798828125
4,two_point_crossover,5,50,0.5,5.878822507951254,25.172677260036473,4.3957961696111,0.0070018768310546875
4,two_point_crossover,5,50,1.0,2.043440548200362,24.031289718371458,4.0129652057343845,0.00600123405456543
4,two_point_crossover,5,50,1.5,4.259271401472903,27.821317070723275,5.6608532901320014,0.006001710891723633
4,two_point_crossover,5,50,2.0,2.953792357889405,33.08118051611912,6.617976719402279,0.0070018768310546875
4,two_point_crossover,5,100,0.1,2.743480187568622,33.58987053250988,6.337828988698612,0.016003847122192383
4,two_point_crossover,5,100,0.2,5.979225085874093,30.4216734412618,4.376522018135606,0.023006439208984375
4,two_point_crossover,5,100,0.5,1.2795825203208366,34.61474786196169,6.654948033498735,0.01800251007080078
4,two_point_crossover,5,100,1.0,2.117874727353559,36.17403973861985,6.815563245412456,0.017004966735839844
4,two_point_crossover,5,100,1.5,2.4703114633793106,37.4731288058493,7.136044063202483,0.018003463745117188
4,two_point_crossover,5,100,2.0,2.6803581750703884,53.11781136281186,8.435079537782102,0.018003225326538086
4,two_point_crossover,10,5,0.1,11.983324733823327,16.377326865945378,1.7030301965931274,0.0030002593994140625
4,two_point_crossover,10,5,0.2,42.332128641838274,47.59879438527567,2.1180532588714924,0.002000570297241211
4,two_point_crossover,10,5,0.5,25.701834161580237,41.660741472734514,6.383562924461711,0.003001689910888672
4,two_point_crossover,10,5,1.0,22.668657865814044,46.288462413277,9.431101524155984,0.003000020980834961
