Function,Generations,Population Size,Step Size,Best Fitness,Worst Fitness,Standard Deviation,Elapsed Time
rastrigin_modified,5,100,1.0,6.894784661114624,212.03489566714157,37.016585802891235,0.01300358772277832
rastrigin_modified,5,100,1.5,3.371230544949068,219.9373468948915,37.62023702187922,0.013002395629882812
rastrigin_modified,5,100,2.0,4.233655281831545,211.36687224887186,47.550965510931825,0.013002872467041016
rastrigin_modified,10,5,0.1,37.6746467451833,51.55618668833594,0.8185988955145012,0.003001689910888672
rastrigin_modified,10,5,0.2,35.86067659042235,41.5723671549944,1.2974086947789687,0.0029993057250976562
rastrigin_modified,10,5,0.5,48.880613944416595,104.51359430411527,4.0444162399597525,0.0030019283294677734
rastrigin_modified,10,5,1.0,9.5309427513801,45.0415690157085,5.719635593082173,0.0030007362365722656
rastrigin_modified,10,5,1.5,35.87803673814388,72.5871417531813,8.660112527198597,0.0020008087158203125
rastrigin_modified,10,5,2.0,18.622595812423754,199.8114490772137,0.0,0.003000497817993164
rastrigin_modified,10,10,0.1,20.026062276148064,89.7210228314466,3.2527083788855866,0.004001140594482422
rastrigin_modified,10,10,0.2,14.74408608316051,191.8205692572856,16.42237948607618,0.004000663757324219
rastrigin_modified,10,10,0.5,16.443218350016764,115.69306678952378,12.892068414455897,0.00500035285949707
rastrigin_modified,10,10,1.0,18.442420711700578,110.12899790960071,14.758201686535003,0.004001617431640625
rastrigin_modified,10,10,1.5,21.8006767678578,119.26920058286908,3.0180724045303777,0.004000663757324219
rastrigin_modified,10,10,2.0,37.091248643755875,177.35021414482233,16.215783616937113,0.004001140594482422
rastrigin_modified,10,20,0.1,24.397412097125578,182.2919688986011,25.51313530246865,0.006001472473144531
rastrigin_modified,10,20,0.2,21.835130931873323,169.10481251124423,28.777245796114297,0.007002353668212891
rastrigin_modified,10,20,0.5,26.35242385864761,219.51107395407888,36.50571509015498,0.006000518798828125
rastrigin_modified,10,20,1.0,14.960878246130541,192.97283814510462,25.77376301001166,0.007002115249633789
rastrigin_modified,10,20,1.5,20.839894080377032,213.69879310599754,35.10438475173846,0.006000995635986328
rastrigin_modified,10,20,2.0,14.972205833360306,181.52471641143728,17.817941508304603,0.007001638412475586
rastrigin_modified,10,50,0.1,6.909657954201094,202.95430272732818,24.031032629936195,0.014002561569213867
rastrigin_modified,10,50,0.2,11.704130825796048,210.65340863121446,40.90990355774684,0.013003349304199219
rastrigin_modified,10,50,0.5,16.54542823346068,206.42144973719854,25.604876784137833,0.013002395629882812
rastrigin_modified,10,50,1.0,1.821039279835567,210.45729568389456,18.66660932828573,0.014003753662109375
rastrigin_modified,10,50,1.5,11.226336450284062,214.24671758632866,26.64072010995878,0.012957334518432617
rastrigin_modified,10,50,2.0,3.9409452433486365,214.72899783482353,17.7249988988108,0.013997316360473633
rastrigin_modified,10,100,0.1,11.888504166266893,219.74598496171842,25.756743524619253,0.028009414672851562
rastrigin_modified,10,100,0.2,15.022373021065626,217.90019667175628,28.430756904457056,0.03200721740722656
rastrigin_modified,10,100,0.5,9.280180000385794,220.10805377736563,30.871539116716736,0.0320124626159668
rastrigin_modified,10,100,1.0,6.1023609412340605,207.1888591477703,22.812443058779255,0.02696967124938965
rastrigin_modified,10,100,1.5,2.0742653216142415,218.8238658267545,23.202043014305346,0.03600811958312988
rastrigin_modified,10,100,2.0,12.156205823966395,211.64866147650685,25.274677885804266,0.03200721740722656
rastrigin_modified,20,5,0.1,33.813279648067144,194.25567209052303,0.0,0.0050013065338134766
rastrigin_modified,20,5,0.2,24.019875630774024,176.36079124791888,0.2640112779175172,0.006000995635986328
rastrigin_modified,20,5,0.5,59.06576952622311,80.75514999730825,8.436707187224034,0.006002664566040039
rastrigin_modified,20,5,1.0,33.68624330169317,113.9454193191282,2.26075701162933,0.0050008296966552734
rastrigin_modified,20,5,1.5,24.11905680004363,140.95579715334327,7.76802267178067,0.0050013065338134766
rastrigin_modified,20,5,2.0,15.308919342031233,79.63293451565403,8.649436621415417,0.0049800872802734375
rastrigin_modified,20,10,0.1,21.951661957547703,128.0482832091082,1.0139914681893252,0.00700068473815918
rastrigin_modified,20,10,0.2,35.82077948787347,157.65514651409688,1.36439182762168,0.007000446319580078
rastrigin_modified,20,10,0.5,23.50495863079618,136.5321612731605,8.674413687962545,0.006998300552368164
rastrigin_modified,20,10,1.0,31.405211054222328,200.0,9.016942080259756,0.007006168365478516
rastrigin_modified,20,10,1.5,42.4685895231993,122.81824081883049,9.331444705008185,0.007995367050170898
rastrigin_modified,20,10,2.0,18.493817579776454,140.33981360201145,14.989974012459228,0.007000923156738281
rastrigin_modified,20,20,0.1,16.356413635489044,200.777427614267,1.8694371577547007,0.011998891830444336
rastrigin_modified,20,20,0.2,10.543808033301271,150.50060144264148,8.917551225806735,0.009997844696044922
rastrigin_modified,20,20,0.5,14.854750914707958,213.86657849774843,15.456923886998775,0.010000467300415039
rastrigin_modified,20,20,1.0,11.461512054809388,161.38564629537652,7.731586990379763,0.009999990463256836
rastrigin_modified,20,20,1.5,18.17007609734369,139.7869063171349,12.328576198455881,0.012002706527709961
rastrigin_modified,20,20,2.0,13.290835969101526,175.5350622616769,18.129932415948147,0.012996435165405273
rastrigin_modified,20,50,0.1,9.981638907033108,198.25952097744417,14.912635495590163,0.023003339767456055
rastrigin_modified,20,50,0.2,10.624581781238572,209.74623077320075,10.100454911751621,0.021996498107910156
rastrigin_modified,20,50,0.5,3.869942689073607,220.25427587023216,24.5964330246574,0.023013591766357422
rastrigin_modified,20,50,1.0,11.262057120837227,210.52627200466944,18.463181784117726,0.02198648452758789
rastrigin_modified,20,50,1.5,15.122675113176546,214.45193975747935,16.61772378989031,0.02895641326904297
rastrigin_modified,20,50,2.0,20.202055260141773,210.7112773823164,31.587682510961336,0.024045228958129883
rastrigin_modified,20,100,0.1,5.036382360753789,219.1981352739375,12.319873281249604,0.04400014877319336
rastrigin_modified,20,100,0.2,12.12101055866233,221.39547332700033,15.885025485515197,0.0559999942779541
rastrigin_modified,20,100,0.5,1.8315927277782542,218.43902966973462,22.648704386567516,0.042827606201171875
rastrigin_modified,20,100,1.0,4.181867475661392,213.9423010333909,16.01063857396096,0.03717184066772461
rastrigin_modified,20,100,1.5,7.49837096796583,218.15599108434583,20.767492336124675,0.047998905181884766
rastrigin_modified,20,100,2.0,8.179569261331512,210.58652010613852,25.87480248965679,0.04000115394592285
rastrigin_modified,50,5,0.1,44.48525066880549,87.2694091309763,0.6988853955816221,0.005001068115234375
rastrigin_modified,50,5,0.2,50.46029705087193,150.3935109026316,4.80639351162579,0.004998922348022461
rastrigin_modified,50,5,0.5,11.738923427590958,32.92272844077217,0.8090571671394486,0.005001068115234375
rastrigin_modified,50,5,1.0,43.31911510576101,130.5031315641208,12.514981386266447,0.004998922348022461
rastrigin_modified,50,5,1.5,21.564880737608075,152.38268991013763,10.10091407637566,0.003999948501586914
rastrigin_modified,50,5,2.0,14.057864775424168,99.12706782330537,12.483881723973752,0.004999399185180664
rastrigin_modified,50,10,0.1,62.88002453948084,174.46391657887932,1.4697835787138378,0.006002664566040039
rastrigin_modified,50,10,0.2,31.219725652164676,160.74933467416184,1.582064968719063,0.005891323089599609
rastrigin_modified,50,10,0.5,16.496297907795114,161.99688373663383,7.941863502812632,0.0071048736572265625
rastrigin_modified,50,10,1.0,46.874585954473915,173.78665055020377,8.273214650224103,0.006000995635986328
rastrigin_modified,50,10,1.5,38.96506669886418,132.6400569043903,5.328703894391231,0.0068967342376708984
rastrigin_modified,50,10,2.0,30.78990161605619,86.50367213619245,9.997376476100635,0.0070018768310546875
rastrigin_modified,50,20,0.1,6.9352895485048265,197.37293995864135,3.207656854533072,0.010049819946289062
rastrigin_modified,50,20,0.2,11.978177075333024,220.37260403287348,25.10625613801818,0.017003297805786133
