Function,Generations,Population Size,Step Size,Best Fitness,Worst Fitness,Standard Deviation,Elapsed Time
rastrigin_modified,5,5,0.1,65.6432860949954,65.6432860949954,0.0,0.0010001659393310547
rastrigin_modified,5,5,0.2,85.68627979442883,85.68627979442883,1.346718223552034,0.002000570297241211
rastrigin_modified,5,5,0.5,33.03822767791415,41.64331922723449,3.442036619728137,0.0009999275207519531
rastrigin_modified,5,5,1.0,18.656361063720002,26.642816528654265,1.0844620312921565,0.0010004043579101562
rastrigin_modified,5,5,1.5,12.90694141844899,27.320512578066946,7.1468295487133355,0.0010004043579101562
rastrigin_modified,5,5,2.0,28.748958325500418,71.59180802569408,1.1725282434399502,0.0020003318786621094
rastrigin_modified,5,10,0.1,33.12172089090472,33.86802153035829,0.42586849613240285,0.0020003318786621094
rastrigin_modified,5,10,0.2,6.841426035807448,8.781155536834639,0.6281685592930204,0.0020008087158203125
rastrigin_modified,5,10,0.5,16.133942501114973,33.00629587402409,8.8620030894957,0.002000570297241211
rastrigin_modified,5,10,1.0,43.131257023446985,45.65246338033395,2.9660702272658876,0.0020003318786621094
rastrigin_modified,5,10,1.5,3.10600484011578,37.27376573601898,10.314655762784218,0.002000093460083008
rastrigin_modified,5,10,2.0,3.2365505930817484,18.861851631500144,6.517650027143605,0.0030007362365722656
rastrigin_modified,5,20,0.1,2.469520656413188,16.68744849457136,5.103231138028539,0.0030007362365722656
rastrigin_modified,5,20,0.2,0.8221324450436853,10.710429803455455,2.6815199837211847,0.004000663757324219
rastrigin_modified,5,20,0.5,21.155791226012518,40.20901375219236,5.542315570334287,0.004001617431640625
rastrigin_modified,5,20,1.0,1.1458716603868417,23.391944632472175,7.399520392239522,0.004001140594482422
rastrigin_modified,5,20,1.5,16.501018524776004,28.99769632159463,3.61308222226116,0.0030002593994140625
rastrigin_modified,5,20,2.0,6.592104696171299,29.46207558130954,6.456694650172083,0.0040013790130615234
rastrigin_modified,5,50,0.1,6.856190151132486,17.387647236565236,2.6002308159293337,0.010001182556152344
rastrigin_modified,5,50,0.2,3.043482289647528,12.07797174914025,2.4504238982091495,0.008002042770385742
rastrigin_modified,5,50,0.5,4.275010898000225,21.632661423825006,4.70750818340605,0.009002208709716797
rastrigin_modified,5,50,1.0,1.7972849572592864,28.603627101456453,7.522088464849511,0.009002447128295898
rastrigin_modified,5,50,1.5,0.3945898727263213,34.85340386633028,7.902562885976593,0.009001731872558594
rastrigin_modified,5,50,2.0,5.906499433547172,28.52527819694339,6.459067980648542,0.01000213623046875
rastrigin_modified,5,100,0.1,0.8392366245883451,10.247656738879451,2.1172943709851224,0.017004013061523438
rastrigin_modified,5,100,0.2,5.28054597588809,24.248743761676444,4.259322177494536,0.017003774642944336
rastrigin_modified,5,100,0.5,1.694791868870169,41.00607253179058,6.882924721089943,0.017004013061523438
rastrigin_modified,5,100,1.0,1.8745133044117779,30.803457750740726,7.183130532611617,0.017004013061523438
rastrigin_modified,5,100,1.5,2.6620322813298856,34.62823052202724,6.182108691644916,0.019004344940185547
rastrigin_modified,5,100,2.0,0.09082064102937437,28.125216118608588,5.372518489039783,0.01800394058227539
rastrigin_modified,10,5,0.1,57.49740696632564,94.66701671644098,0.0,0.0030007362365722656
rastrigin_modified,10,5,0.2,23.065682564365275,23.16685147231635,3.8188662567601397,0.003000497817993164
rastrigin_modified,10,5,0.5,17.777594881858214,38.22948019714329,8.18075412611403,0.004001140594482422
rastrigin_modified,10,5,1.0,36.99045363289089,40.031552636410154,0.0,0.003000497817993164
rastrigin_modified,10,5,1.5,35.93395158392961,35.93395158392961,0.0,0.003000497817993164
rastrigin_modified,10,5,2.0,29.67733319103617,33.417933272312375,0.0,0.0050008296966552734
rastrigin_modified,10,10,0.1,10.937768865776894,19.69787693469549,1.3957848057945608,0.006001472473144531
rastrigin_modified,10,10,0.2,4.253873861542317,11.567935970864985,2.5895484397121318,0.007001638412475586
rastrigin_modified,10,10,0.5,3.564625690740556,18.7235552515084,4.547678868230353,0.00600123405456543
rastrigin_modified,10,10,1.0,2.121273194839901,21.822663135816484,5.830872119951198,0.006001472473144531
rastrigin_modified,10,10,1.5,15.474044263080536,47.9209696205157,9.116067881482982,0.005001068115234375
rastrigin_modified,10,10,2.0,7.655076290538762,26.840222416235292,6.329680442455112,0.007001638412475586
rastrigin_modified,10,20,0.1,10.236072371679283,18.005545750475104,1.8552228878324781,0.009001970291137695
rastrigin_modified,10,20,0.2,19.95639121900893,23.320346904447533,0.7127509893714924,0.010002851486206055
rastrigin_modified,10,20,0.5,9.961812343200735,28.41134725447356,5.216833837732072,0.009002685546875
rastrigin_modified,10,20,1.0,2.5729362179681203,31.419414313216716,5.459907095887281,0.007001638412475586
rastrigin_modified,10,20,1.5,5.186318257821885,23.540226761726032,4.646765041588602,0.008002042770385742
rastrigin_modified,10,20,2.0,5.688837291019373,32.39275192761892,7.921596341041344,0.008001565933227539
rastrigin_modified,10,50,0.1,3.569986223616077,14.926242636094663,2.466987096109792,0.01800370216369629
rastrigin_modified,10,50,0.2,1.1044579639671994,17.47056903281687,2.694193965628447,0.01800370216369629
rastrigin_modified,10,50,0.5,1.047328244825458,18.342651677837303,4.012779381197882,0.019004344940185547
rastrigin_modified,10,50,1.0,0.2923374704332815,20.724771057190523,5.336294274278443,0.01800394058227539
rastrigin_modified,10,50,1.5,1.722668157216706,25.643786970825897,5.49498310155494,0.023005247116088867
rastrigin_modified,10,50,2.0,1.8920618029950091,22.23925276868374,4.937023575959768,0.03300738334655762
rastrigin_modified,10,100,0.1,1.0225078956749343,2.6214630002204444,0.3468742187902681,0.04401040077209473
rastrigin_modified,10,100,0.2,1.003245892262271,6.799069556145653,1.174078231702071,0.04300951957702637
