Dimension,Crossover Method,Generations,Population Size,Step Size,Best Fitness,Worst Fitness,Standard Deviation,Elapsed Time
3,one_point_crossover,5,5,0.1,15.061300956736254,20.38078519076781,2.6060044136314255,0.0030007362365722656
3,one_point_crossover,5,5,0.2,25.965848654872758,28.360261713312184,1.1730180453266945,0.0010001659393310547
3,one_point_crossover,5,5,0.5,18.798482436574332,37.170911094388465,7.182537788445286,0.002000570297241211
3,one_point_crossover,5,5,1.0,16.644929905653584,21.351717508156987,3.978981482503355,0.0010001659393310547
3,one_point_crossover,5,5,1.5,27.137178230624098,27.137178230624098,3.552713678800501e-15,0.0020003318786621094
3,one_point_crossover,5,5,2.0,27.537562315531602,47.968350667719875,8.17231534087531,0.0020008087158203125
3,one_point_crossover,5,10,0.1,1.4310507482871628,13.275706598932477,2.8619930887826603,0.0019998550415039062
3,one_point_crossover,5,10,0.2,5.480063192620957,15.569592465087174,4.4124190338296385,0.0020024776458740234
3,one_point_crossover,5,10,0.5,8.106479268150274,31.717434933502574,8.265038746435009,0.001998424530029297
3,one_point_crossover,5,10,1.0,6.896254700807617,24.946558074557615,6.8855223115517905,0.0020003318786621094
3,one_point_crossover,5,10,1.5,10.57689187309362,43.809029391372036,8.704991679438962,0.0010004043579101562
3,one_point_crossover,5,10,2.0,10.464597898127856,29.349981348880412,5.724869535450704,0.002000570297241211
3,one_point_crossover,5,20,0.1,25.19629739393434,40.581517850117976,3.621205445499038,0.003000497817993164
3,one_point_crossover,5,20,0.2,4.994451223626406,29.732375298583463,6.930551986336348,0.00400090217590332
3,one_point_crossover,5,20,0.5,10.360582256093071,41.77175882727295,7.48705209427552,0.0030007362365722656
3,one_point_crossover,5,20,1.0,2.652831794669293,9.877621549814323,1.4907753161155242,0.003000497817993164
3,one_point_crossover,5,20,1.5,5.2671666042220675,33.835784476918356,7.531150031252811,0.003000974655151367
3,one_point_crossover,5,20,2.0,10.801947222865488,36.59883703343378,5.532268991119718,0.003000497817993164
3,one_point_crossover,5,50,0.1,4.541634460000916,12.368529188442471,1.6941860377729143,0.006001710891723633
3,one_point_crossover,5,50,0.2,2.7671713197316166,17.585072191820508,3.193234546139639,0.006001472473144531
3,one_point_crossover,5,50,0.5,6.152807195898358,26.67429838930325,5.7130957003382,0.006001472473144531
3,one_point_crossover,5,50,1.0,3.984474713055903,29.492085018299324,5.842484317794365,0.006000995635986328
3,one_point_crossover,5,50,1.5,1.7772209092327813,32.16393645577365,6.457541950643438,0.007001399993896484
3,one_point_crossover,5,50,2.0,2.4146193265046385,26.71803907264103,6.386195394427929,0.006001949310302734
3,one_point_crossover,5,100,0.1,1.1233476570012755,36.759773392615244,7.061721685226935,0.01700282096862793
3,one_point_crossover,5,100,0.2,1.618017248875887,24.055820788567676,5.520675039453957,0.015003681182861328
3,one_point_crossover,5,100,0.5,1.3852605709568415,40.749582771463984,7.428743918781565,0.01600360870361328
3,one_point_crossover,5,100,1.0,3.719465498544544,43.53208877642862,6.223916736051619,0.015003442764282227
3,one_point_crossover,5,100,1.5,2.9593019139450476,35.834613664190634,5.505487452948071,0.016003847122192383
3,one_point_crossover,5,100,2.0,3.495641530046054,33.614819999936344,6.7939500896732445,0.015004158020019531
3,one_point_crossover,10,5,0.1,50.06908006924108,50.90377500357907,0.4089153360027965,0.0030002593994140625
3,one_point_crossover,10,5,0.2,39.843233674480174,40.06909303146702,0.08747820984919892,0.0020012855529785156
3,one_point_crossover,10,5,0.5,8.777747499441734,23.183813941982347,5.75257242829693,0.0019996166229248047
3,one_point_crossover,10,5,1.0,4.766285887989136,11.470376753465034,2.4360073027475635,0.002000570297241211
3,one_point_crossover,10,5,1.5,1.2971649749576528,15.045330099323106,6.7351978908445185,0.003000497817993164
3,one_point_crossover,10,5,2.0,5.467198779363677,22.732248538993282,6.906019903851843,0.0020003318786621094
3,one_point_crossover,10,10,0.1,9.259461708439588,10.473206041785076,0.7323280679172153,0.003001689910888672
3,one_point_crossover,10,10,0.2,2.3519969480135643,10.840071378398127,2.886189193611225,0.0040013790130615234
3,one_point_crossover,10,10,0.5,2.595391261326661,22.598253432041673,5.980902725191145,0.003000020980834961
3,one_point_crossover,10,10,1.0,0.5911062792418349,18.195232962383578,5.495080534417076,0.00400090217590332
3,one_point_crossover,10,10,1.5,8.521622231716993,21.21268537718853,5.517876787571103,0.003000974655151367
3,one_point_crossover,10,10,2.0,3.2590067578640856,14.304271534625153,3.779810470917899,0.0040013790130615234
3,one_point_crossover,10,20,0.1,12.418765051229942,14.65861038453605,1.3088241374862553,0.005000114440917969
3,one_point_crossover,10,20,0.2,2.848746826663387,8.110113423453098,1.4457535142286482,0.0060007572174072266
3,one_point_crossover,10,20,0.5,3.9914573352104163,21.34978429090387,3.6528122462202792,0.00500178337097168
3,one_point_crossover,10,20,1.0,6.519708329733344,25.58640677890444,5.509740778326648,0.006001949310302734
3,one_point_crossover,10,20,1.5,1.7335632539725871,20.962919720756673,4.494486799627322,0.005000114440917969
3,one_point_crossover,10,20,2.0,5.005061025087347,25.899215592611114,5.109974719233829,0.006001472473144531
3,one_point_crossover,10,50,0.1,12.218416805662807,22.99278119498351,2.767002895158404,0.013003110885620117
3,one_point_crossover,10,50,0.2,2.24434504010118,10.942428060771865,1.4729622305136758,0.013012170791625977
3,one_point_crossover,10,50,0.5,1.2955588170190993,34.594994781609145,7.818781524601202,0.01399374008178711
3,one_point_crossover,10,50,1.0,1.5998087723406442,20.890218281404774,3.004186377587895,0.013002634048461914
3,one_point_crossover,10,50,1.5,2.229751633259383,23.417483480990377,5.0365003358192695,0.013004064559936523
3,one_point_crossover,10,50,2.0,2.6355271424590967,20.452975620943143,2.900289135860742,0.011002063751220703
3,one_point_crossover,10,100,0.1,0.08056795347330947,3.7923278335981827,0.558055773608846,0.023005008697509766
3,one_point_crossover,10,100,0.2,0.1820683029402872,9.386046840244523,1.517126501781476,0.022005558013916016
3,one_point_crossover,10,100,0.5,0.594138525859151,23.31125000248673,4.931250188839317,0.024013757705688477
3,one_point_crossover,10,100,1.0,0.12257563904595514,21.55584415415913,6.238234375785753,0.025005817413330078
3,one_point_crossover,10,100,1.5,1.8178977369045342,23.652078390647077,4.77758523729077,0.02499675750732422
3,one_point_crossover,10,100,2.0,0.2261545117533288,23.147092887240127,4.696528131577547,0.025027751922607422
3,one_point_crossover,20,5,0.1,4.977182662594775,6.109056933526476,0.5321468250525007,0.005988359451293945
3,one_point_crossover,20,5,0.2,9.779741604776026,9.779741604776026,0.0,0.004001617431640625
3,one_point_crossover,20,5,0.5,19.27029177618178,27.611333880831356,3.2309546498587314,0.003990650177001953
3,one_point_crossover,20,5,1.0,29.612179412030976,48.64132386313739,7.730033205848571,0.00400090217590332
3,one_point_crossover,20,5,1.5,5.048989086331389,14.974441034282775,3.9701807791805543,0.004010200500488281
3,one_point_crossover,20,5,2.0,1.849240369835229,4.448171394034313,1.0395724096796337,0.00400090217590332
3,one_point_crossover,20,10,0.1,2.081362456241525,5.07300509624568,1.3990539954885501,0.006001472473144531
3,one_point_crossover,20,10,0.2,16.924169961631087,17.049973916520898,0.050804990282010055,0.005001068115234375
3,one_point_crossover,20,10,0.5,8.436196937780487,13.05653616653621,1.2417618353620372,0.005991935729980469
3,one_point_crossover,20,10,1.0,8.571822927766533,8.992033155572843,0.006936243407720255,0.006001472473144531
3,one_point_crossover,20,10,1.5,2.2127466386170056,20.853615044685306,5.566931894206581,0.006010770797729492
3,one_point_crossover,20,10,2.0,2.6494922729254675,24.168390735929137,7.4195482805560795,0.005001068115234375
3,one_point_crossover,20,20,0.1,1.0437413195834822,2.9365246861170675,0.460329762513737,0.01000213623046875
3,one_point_crossover,20,20,0.2,9.968206411026273,21.646312167699104,2.790508918062889,0.01099395751953125
3,one_point_crossover,20,20,0.5,1.0725571740931379,18.90049735622085,4.161022751126891,0.013002157211303711
3,one_point_crossover,20,20,1.0,0.32084157540266034,20.388452341937043,7.595767184701739,0.010002613067626953
3,one_point_crossover,20,20,1.5,0.04463289732539266,19.081492045627964,5.4983521573882905,0.010001897811889648
3,one_point_crossover,20,20,2.0,0.3128087020544861,9.935426619621563,2.097200953748934,0.009001970291137695
3,one_point_crossover,20,50,0.1,1.000490774255688,2.29987935515452,0.22676957824545624,0.023005962371826172
3,one_point_crossover,20,50,0.2,1.0008528410530388,7.104596537471593,1.303744946508758,0.023005247116088867
3,one_point_crossover,20,50,0.5,0.05657323745002785,22.129880662913514,6.791313204011857,0.023004770278930664
3,one_point_crossover,20,50,1.0,0.4730138611334169,20.202152145130643,4.7647126885012225,0.022005558013916016
